Year,Month,Anomaly,Unc,Temps
1849,1,-0.54,2.838,7.93
1849,2,-1.13,2.062,9.59
1849,3,-0.28,1.871,11.59
1849,4,0.08,2.697,16.08
1849,5,-1.71,1.877,11.72
1849,6,-0.84,2.005,17.57
1849,7,1.1,3.225,20.89
1849,8,0.69,2.803,20.44
1849,9,-1.35,1.405,18.14
1849,10,-1.18,1.285,15.5
1849,11,-1.63,2.043,10.71
1849,12,-2.3,1.996,6.48
1850,1,-1.54,3.173,6.93
1850,2,-1.71,2.666,9.01
1850,3,-2.03,1.529,9.84
1850,4,0.07,2.454,16.07
1850,5,-0.37,1.552,13.06
1850,6,-0.69,1.31,17.72
1850,7,-0.85,1.75,18.94
1850,8,0.38,1.214,20.13
1850,9,-0.69,1.191,18.8
1850,10,-0.55,1.611,16.13
1850,11,-1.91,2.441,10.43
1850,12,-1.99,2.76,6.79
1851,1,-0.49,2.988,7.98
1851,2,-1.23,1.138,9.49
1851,3,-0.09,2.218,11.78
1851,4,1.29,2.825,17.29
1851,5,-0.22,1.612,13.21
1851,6,0.39,1.619,18.8
1851,7,-0.83,2.366,18.96
1851,8,0.4,1.569,20.15
1851,9,-0.96,1.685,18.53
1851,10,0.2,1.791,16.88
1851,11,-0.29,1.773,12.05
1851,12,-0.52,2.618,8.26
1852,1,-0.23,2.686,8.24
1852,2,-0.64,1.969,10.08
1852,3,-1.81,1.385,10.06
1852,4,-1.49,1.724,14.51
1852,5,-0.06,2.099,13.37
1852,6,0.71,2.311,19.12
1852,7,0.07,1.806,19.86
1852,8,-1.48,2.322,18.27
1852,9,-1.66,4.193,17.83
1852,10,-2.4,2.152,14.28
1852,11,-0.81,2.047,11.53
1852,12,-0.74,2.346,8.04
1853,1,-0.97,2.916,7.5
1853,2,-1.14,2.524,9.58
1853,3,1.33,2.801,13.2
1853,4,1.08,1.621,17.08
1853,5,1.23,2.374,14.66
1853,6,1.67,3.828,20.08
1853,7,-0.26,2.37,19.53
1853,8,-1.86,1.295,17.89
1853,9,0.18,5.719,19.67
1853,10,-0.52,1.382,16.16
1853,11,-0.2,0.865,12.14
1853,12,0.18,1.651,8.96
1854,1,-1.87,2.136,6.6
1854,2,-0.76,1.46,9.96
1854,3,-0.38,0.908,11.49
1854,4,1.55,1.321,17.55
1854,5,-0.75,1.184,12.68
1854,6,-1.21,1.625,17.2
1854,7,1.83,2.345,21.62
1854,8,-1.78,2.079,17.97
1854,9,-2.75,0.685,16.74
1854,10,-1.34,1.488,15.34
1854,11,0.4,1.745,12.74
1854,12,0.25,2.616,9.03
1855,1,-1.42,1.728,7.05
1855,2,0.62,2.53,11.34
1855,3,1.38,1.089,13.25
1855,4,0.46,1.305,16.46
1855,5,-1.22,1.483,12.21
1855,6,0.54,0.804,18.95
1855,7,-0.95,1.085,18.84
1855,8,-0.52,1.142,19.23
1855,9,-1.59,1.172,17.9
1855,10,-0.19,1.653,16.49
1855,11,-1.79,1.081,10.55
1855,12,-1.16,2.857,7.62
1856,1,0.41,1.023,8.88
1856,2,0.11,1.01,10.83
1856,3,1.69,1.205,13.56
1856,4,0.82,0.902,16.82
1856,5,0.13,0.742,13.56
1856,6,0.66,1.925,19.07
1856,7,-0.86,3.061,18.93
1856,8,-1.68,1.739,18.07
1856,9,-1.18,1.879,18.31
1856,10,-2.46,1.685,14.22
1856,11,-0.78,1.302,11.56
1856,12,-1.44,2.88,7.34
1857,1,0.59,1.484,9.06
1857,2,-0.42,1.876,10.3
1857,3,1.37,0.817,13.24
1857,4,2.52,0.8,18.52
1857,5,0.76,1.078,14.19
1857,6,0.66,2.258,19.07
1857,7,-1.56,2.617,18.23
1857,8,-0.94,1.39,18.81
1857,9,-1.23,1.513,18.26
1857,10,-0.43,1.15,16.25
1857,11,0.11,1.367,12.45
1857,12,0.68,2.232,9.46
1858,1,-0.7,3.098,7.77
1858,2,0.76,1.739,11.48
1858,3,-0.02,0.605,11.85
1858,4,0.82,1.459,16.82
1858,5,0.97,0.992,14.4
1858,6,0.23,1.029,18.64
1858,7,-1.69,2.285,18.1
1858,8,-1.67,2.249,18.08
1858,9,-1.05,1.788,18.44
1858,10,-1.48,1.141,15.2
1858,11,0.37,1.658,12.71
1858,12,-1.7,2.546,7.08
1859,1,-0.7,1.862,7.77
1859,2,-0.7,1.536,10.02
1859,3,-1.37,1.147,10.5
1859,4,-0.69,0.743,15.31
1859,5,-0.05,1.146,13.38
1859,6,1.21,1.994,19.62
1859,7,-1.97,2.089,17.82
1859,8,-2.61,2.595,17.14
1859,9,-2.31,1.703,17.18
1859,10,-0.27,0.881,16.41
1859,11,-0.1,2.247,12.24
1859,12,-1.02,2.645,7.76
1860,1,-0.49,1.514,7.98
1860,2,-0.47,1.99,10.25
1860,3,-0.43,1.574,11.44
1860,4,0.17,0.992,16.17
1860,5,-1.88,1.228,11.55
1860,6,-2.07,1.138,16.34
1860,7,-0.69,1.33,19.1
1860,8,-1.26,3.974,18.49
1860,9,-1.53,1.98,17.96
1860,10,-1.58,1.563,15.1
1860,11,-0.04,1.613,12.3
1860,12,0.98,2.142,9.76
1861,1,0.72,3.344,9.19
1861,2,1.11,2.39,11.83
1861,3,1.02,2.171,12.89
1861,4,1.74,1.919,17.74
1861,5,0.02,1.719,13.45
